o,h,l,c,time
1.05408,1.05411,1.05098,1.05196,2017-01-05T01:00:00.000000000Z
1.05194,1.05290,1.05113,1.05150,2017-01-05T02:00:00.000000000Z
1.05148,1.05272,1.05140,1.05204,2017-01-05T03:00:00.000000000Z
1.05206,1.05289,1.05178,1.05264,2017-01-05T04:00:00.000000000Z
1.05262,1.05636,1.05239,1.05417,2017-01-05T05:00:00.000000000Z
1.05415,1.05750,1.05408,1.05668,2017-01-05T06:00:00.000000000Z
1.05664,1.05686,1.05432,1.05596,2017-01-05T07:00:00.000000000Z
1.05594,1.05702,1.05050,1.05153,2017-01-05T08:00:00.000000000Z
1.05150,1.05236,1.05018,1.05046,2017-01-05T09:00:00.000000000Z
1.05044,1.05136,1.04878,1.04887,2017-01-05T10:00:00.000000000Z
1.04884,1.05012,1.04827,1.04936,2017-01-05T11:00:00.000000000Z
1.04934,1.05182,1.04920,1.05013,2017-01-05T12:00:00.000000000Z
1.05017,1.05426,1.04938,1.05305,2017-01-05T13:00:00.000000000Z
1.05302,1.05512,1.05280,1.05454,2017-01-05T14:00:00.000000000Z
1.05458,1.06088,1.05364,1.06026,2017-01-05T15:00:00.000000000Z
1.06029,1.06153,1.05859,1.05988,2017-01-05T16:00:00.000000000Z
1.05990,1.06012,1.05919,1.05984,2017-01-05T17:00:00.000000000Z
1.05988,1.06074,1.05908,1.06000,2017-01-05T18:00:00.000000000Z
1.05998,1.06010,1.05872,1.05920,2017-01-05T19:00:00.000000000Z
1.05922,1.05994,1.05884,1.05992,2017-01-05T20:00:00.000000000Z
1.05994,1.06098,1.05994,1.06069,2017-01-05T21:00:00.000000000Z
1.06026,1.06084,1.05990,1.06021,2017-01-05T22:00:00.000000000Z
1.06024,1.06134,1.06024,1.06039,2017-01-05T23:00:00.000000000Z
1.06037,1.06070,1.05854,1.05903,2017-01-06T00:00:00.000000000Z
1.05905,1.05918,1.05758,1.05838,2017-01-06T01:00:00.000000000Z
1.05840,1.05935,1.05796,1.05875,2017-01-06T02:00:00.000000000Z
1.05872,1.05922,1.05802,1.05887,2017-01-06T03:00:00.000000000Z
1.05884,1.05912,1.05781,1.05804,2017-01-06T04:00:00.000000000Z
1.05808,1.05834,1.05768,1.05827,2017-01-06T05:00:00.000000000Z
1.05825,1.05882,1.05751,1.05792,2017-01-06T06:00:00.000000000Z
1.05789,1.05908,1.05744,1.05843,2017-01-06T07:00:00.000000000Z
1.05841,1.05980,1.05814,1.05936,2017-01-06T08:00:00.000000000Z
1.05939,1.06086,1.05868,1.06006,2017-01-06T09:00:00.000000000Z
1.06010,1.06076,1.05899,1.06061,2017-01-06T10:00:00.000000000Z
1.06059,1.06059,1.05837,1.05862,2017-01-06T11:00:00.000000000Z
1.05860,1.05867,1.05710,1.05799,2017-01-06T12:00:00.000000000Z
1.05802,1.06224,1.05395,1.05442,2017-01-06T13:00:00.000000000Z
1.05444,1.05692,1.05355,1.05586,2017-01-06T14:00:00.000000000Z
1.05580,1.05830,1.05491,1.05730,2017-01-06T15:00:00.000000000Z
1.05733,1.05827,1.05512,1.05588,2017-01-06T16:00:00.000000000Z
1.05590,1.05618,1.05358,1.05497,2017-01-06T17:00:00.000000000Z
1.05499,1.05520,1.05254,1.05258,2017-01-06T18:00:00.000000000Z
1.05260,1.05344,1.05251,1.05312,2017-01-06T19:00:00.000000000Z
1.05314,1.05356,1.05279,1.05343,2017-01-06T20:00:00.000000000Z
1.05340,1.05354,1.05300,1.05323,2017-01-06T21:00:00.000000000Z
1.05304,1.05346,1.05294,1.05326,2017-01-08T22:00:00.000000000Z
1.05326,1.05362,1.05260,1.05298,2017-01-08T23:00:00.000000000Z
1.05299,1.05358,1.05221,1.05352,2017-01-09T00:00:00.000000000Z
1.05348,1.05445,1.05345,1.05420,2017-01-09T01:00:00.000000000Z
1.05422,1.05424,1.05327,1.05327,2017-01-09T02:00:00.000000000Z
1.05324,1.05347,1.05264,1.05298,2017-01-09T03:00:00.000000000Z
1.05300,1.05300,1.05238,1.05266,2017-01-09T04:00:00.000000000Z
1.05264,1.05322,1.05166,1.05240,2017-01-09T05:00:00.000000000Z
1.05238,1.05366,1.05193,1.05327,2017-01-09T06:00:00.000000000Z
1.05329,1.05410,1.05294,1.05375,2017-01-09T07:00:00.000000000Z
1.05377,1.05562,1.05347,1.05482,2017-01-09T08:00:00.000000000Z
1.05480,1.05522,1.05234,1.05242,2017-01-09T09:00:00.000000000Z
1.05239,1.05254,1.05110,1.05184,2017-01-09T10:00:00.000000000Z
1.05182,1.05328,1.05125,1.05246,2017-01-09T11:00:00.000000000Z
1.05244,1.05314,1.05202,1.05218,2017-01-09T12:00:00.000000000Z
1.05222,1.05420,1.05128,1.05348,2017-01-09T13:00:00.000000000Z
1.05351,1.05488,1.05245,1.05306,2017-01-09T14:00:00.000000000Z
1.05303,1.05640,1.05285,1.05550,2017-01-09T15:00:00.000000000Z
1.05552,1.05829,1.05545,1.05754,2017-01-09T16:00:00.000000000Z
1.05756,1.05788,1.05615,1.05710,2017-01-09T17:00:00.000000000Z
1.05706,1.05776,1.05636,1.05642,2017-01-09T18:00:00.000000000Z
1.05640,1.05782,1.05623,1.05780,2017-01-09T19:00:00.000000000Z
1.05782,1.05784,1.05580,1.05688,2017-01-09T20:00:00.000000000Z
1.05690,1.05750,1.05671,1.05713,2017-01-09T21:00:00.000000000Z
1.05795,1.05894,1.05736,1.05843,2017-01-09T22:00:00.000000000Z
1.05848,1.05892,1.05828,1.05860,2017-01-09T23:00:00.000000000Z
1.05858,1.05995,1.05844,1.05900,2017-01-10T00:00:00.000000000Z
1.05902,1.05950,1.05759,1.05788,2017-01-10T01:00:00.000000000Z
1.05786,1.06120,1.05761,1.06068,2017-01-10T02:00:00.000000000Z
1.06070,1.06274,1.06045,1.06158,2017-01-10T03:00:00.000000000Z
1.06156,1.06194,1.06074,1.06084,2017-01-10T04:00:00.000000000Z
1.06082,1.06143,1.06030,1.06098,2017-01-10T05:00:00.000000000Z
1.06094,1.06158,1.05937,1.05952,2017-01-10T06:00:00.000000000Z
1.05954,1.06035,1.05894,1.05982,2017-01-10T07:00:00.000000000Z
1.05980,1.06203,1.05870,1.06037,2017-01-10T08:00:00.000000000Z
1.06040,1.06068,1.05903,1.05964,2017-01-10T09:00:00.000000000Z
1.05966,1.06000,1.05802,1.05913,2017-01-10T10:00:00.000000000Z
1.05911,1.05911,1.05772,1.05785,2017-01-10T11:00:00.000000000Z
1.05782,1.05849,1.05624,1.05690,2017-01-10T12:00:00.000000000Z
1.05687,1.05768,1.05588,1.05748,2017-01-10T13:00:00.000000000Z
1.05746,1.06046,1.05696,1.05956,2017-01-10T14:00:00.000000000Z
1.05954,1.06024,1.05713,1.05936,2017-01-10T15:00:00.000000000Z
1.05934,1.05982,1.05682,1.05718,2017-01-10T16:00:00.000000000Z
1.05716,1.05753,1.05511,1.05613,2017-01-10T17:00:00.000000000Z
1.05610,1.05646,1.05562,1.05588,2017-01-10T18:00:00.000000000Z
1.05590,1.05632,1.05552,1.05582,2017-01-10T19:00:00.000000000Z
1.05580,1.05624,1.05561,1.05618,2017-01-10T20:00:00.000000000Z
1.05616,1.05616,1.05540,1.05543,2017-01-10T21:00:00.000000000Z
1.05553,1.05612,1.05540,1.05564,2017-01-10T22:00:00.000000000Z
1.05564,1.05564,1.05510,1.05523,2017-01-10T23:00:00.000000000Z
1.05520,1.05633,1.05515,1.05578,2017-01-11T00:00:00.000000000Z
1.05580,1.05661,1.05498,1.05580,2017-01-11T01:00:00.000000000Z
1.05584,1.05608,1.05430,1.05464,2017-01-11T02:00:00.000000000Z
1.05461,1.05502,1.05364,1.05454,2017-01-11T03:00:00.000000000Z
1.05457,1.05506,1.05408,1.05506,2017-01-11T04:00:00.000000000Z
1.05504,1.05526,1.05459,1.05499,2017-01-11T05:00:00.000000000Z
1.05503,1.05668,1.05500,1.05625,2017-01-11T06:00:00.000000000Z
1.05622,1.05632,1.05532,1.05583,2017-01-11T07:00:00.000000000Z
1.05580,1.05598,1.05462,1.05580,2017-01-11T08:00:00.000000000Z
1.05578,1.05586,1.05304,1.05354,2017-01-11T09:00:00.000000000Z
1.05357,1.05362,1.05158,1.05222,2017-01-11T10:00:00.000000000Z
1.05225,1.05251,1.05134,1.05192,2017-01-11T11:00:00.000000000Z
1.05190,1.05207,1.05001,1.05017,2017-01-11T12:00:00.000000000Z
1.05020,1.05155,1.04942,1.05132,2017-01-11T13:00:00.000000000Z
1.05130,1.05158,1.04780,1.04808,2017-01-11T14:00:00.000000000Z
1.04809,1.04820,1.04539,1.04742,2017-01-11T15:00:00.000000000Z
1.04744,1.05412,1.04584,1.04994,2017-01-11T16:00:00.000000000Z
1.04996,1.05728,1.04726,1.05586,2017-01-11T17:00:00.000000000Z
1.05588,1.06230,1.05546,1.06038,2017-01-11T18:00:00.000000000Z
1.06041,1.06142,1.05708,1.05766,2017-01-11T19:00:00.000000000Z
1.05768,1.05778,1.05644,1.05731,2017-01-11T20:00:00.000000000Z
1.05734,1.05848,1.05734,1.05824,2017-01-11T21:00:00.000000000Z
1.05818,1.05842,1.05782,1.05836,2017-01-11T22:00:00.000000000Z
1.05836,1.05992,1.05780,1.05943,2017-01-11T23:00:00.000000000Z
1.05946,1.05974,1.05716,1.05821,2017-01-12T00:00:00.000000000Z
1.05818,1.05931,1.05761,1.05840,2017-01-12T01:00:00.000000000Z
1.05838,1.06099,1.05830,1.05987,2017-01-12T02:00:00.000000000Z
1.05990,1.06140,1.05940,1.06113,2017-01-12T03:00:00.000000000Z
1.06110,1.06126,1.05988,1.06000,2017-01-12T04:00:00.000000000Z
1.06002,1.06116,1.05950,1.06113,2017-01-12T05:00:00.000000000Z
1.06115,1.06388,1.06050,1.06378,2017-01-12T06:00:00.000000000Z
1.06375,1.06430,1.06275,1.06295,2017-01-12T07:00:00.000000000Z
1.06298,1.06646,1.06276,1.06434,2017-01-12T08:00:00.000000000Z
1.06432,1.06452,1.06276,1.06412,2017-01-12T09:00:00.000000000Z
1.06410,1.06429,1.06198,1.06381,2017-01-12T10:00:00.000000000Z
1.06383,1.06524,1.06375,1.06524,2017-01-12T11:00:00.000000000Z
1.06522,1.06848,1.06515,1.06744,2017-01-12T12:00:00.000000000Z
1.06747,1.06826,1.06436,1.06526,2017-01-12T13:00:00.000000000Z
1.06528,1.06590,1.06326,1.06586,2017-01-12T14:00:00.000000000Z
1.06584,1.06757,1.06376,1.06526,2017-01-12T15:00:00.000000000Z
1.06529,1.06678,1.06480,1.06658,2017-01-12T16:00:00.000000000Z
1.06655,1.06688,1.06456,1.06485,2017-01-12T17:00:00.000000000Z
1.06488,1.06519,1.06306,1.06418,2017-01-12T18:00:00.000000000Z
1.06416,1.06428,1.06215,1.06266,2017-01-12T19:00:00.000000000Z
1.06264,1.06293,1.06108,1.06232,2017-01-12T20:00:00.000000000Z
1.06234,1.06250,1.06118,1.06126,2017-01-12T21:00:00.000000000Z
1.06146,1.06196,1.06120,1.06124,2017-01-12T22:00:00.000000000Z
1.06128,1.06166,1.06068,1.06160,2017-01-12T23:00:00.000000000Z
1.06156,1.06183,1.06050,1.06095,2017-01-13T00:00:00.000000000Z
1.06098,1.06198,1.06084,1.06164,2017-01-13T01:00:00.000000000Z
1.06162,1.06190,1.06038,1.06054,2017-01-13T02:00:00.000000000Z
1.06057,1.06122,1.06042,1.06080,2017-01-13T03:00:00.000000000Z
1.06077,1.06175,1.06056,1.06175,2017-01-13T04:00:00.000000000Z
1.06173,1.06173,1.06126,1.06170,2017-01-13T05:00:00.000000000Z
1.06173,1.06302,1.06144,1.06296,2017-01-13T06:00:00.000000000Z
1.06294,1.06410,1.06241,1.06312,2017-01-13T07:00:00.000000000Z
1.06314,1.06437,1.06250,1.06342,2017-01-13T08:00:00.000000000Z
1.06344,1.06510,1.06277,1.06442,2017-01-13T09:00:00.000000000Z
1.06444,1.06544,1.06408,1.06442,2017-01-13T10:00:00.000000000Z
1.06440,1.06576,1.06438,1.06458,2017-01-13T11:00:00.000000000Z
1.06460,1.06587,1.06432,1.06451,2017-01-13T12:00:00.000000000Z
1.06454,1.06739,1.06206,1.06454,2017-01-13T13:00:00.000000000Z
1.06457,1.06525,1.06014,1.06050,2017-01-13T14:00:00.000000000Z
1.06054,1.06296,1.05962,1.06229,2017-01-13T15:00:00.000000000Z
1.06231,1.06312,1.06121,1.06243,2017-01-13T16:00:00.000000000Z
1.06246,1.06417,1.06224,1.06374,2017-01-13T17:00:00.000000000Z
1.06376,1.06442,1.06296,1.06322,2017-01-13T18:00:00.000000000Z
1.06319,1.06530,1.06302,1.06438,2017-01-13T19:00:00.000000000Z
1.06440,1.06476,1.06357,1.06370,2017-01-13T20:00:00.000000000Z
1.06368,1.06451,1.06368,1.06434,2017-01-13T21:00:00.000000000Z
1.06051,1.06317,1.06051,1.06230,2017-01-15T22:00:00.000000000Z
1.06230,1.06356,1.06218,1.06276,2017-01-15T23:00:00.000000000Z
1.06275,1.06347,1.06245,1.06290,2017-01-16T00:00:00.000000000Z
1.06292,1.06306,1.06162,1.06208,2017-01-16T01:00:00.000000000Z
1.06206,1.06274,1.06108,1.06216,2017-01-16T02:00:00.000000000Z
1.06220,1.06231,1.06064,1.06108,2017-01-16T03:00:00.000000000Z
1.06106,1.06154,1.06050,1.06151,2017-01-16T04:00:00.000000000Z
1.06148,1.06226,1.06114,1.06208,2017-01-16T05:00:00.000000000Z
1.06205,1.06298,1.06174,1.06182,2017-01-16T06:00:00.000000000Z
1.06179,1.06226,1.06045,1.06137,2017-01-16T07:00:00.000000000Z
1.06136,1.06174,1.05796,1.05831,2017-01-16T08:00:00.000000000Z
1.05834,1.05978,1.05806,1.05900,2017-01-16T09:00:00.000000000Z
1.05896,1.05958,1.05833,1.05862,2017-01-16T10:00:00.000000000Z
1.05859,1.05982,1.05794,1.05940,2017-01-16T11:00:00.000000000Z
1.05936,1.05986,1.05856,1.05909,2017-01-16T12:00:00.000000000Z
1.05912,1.06011,1.05900,1.05928,2017-01-16T13:00:00.000000000Z
1.05931,1.06088,1.05898,1.06065,2017-01-16T14:00:00.000000000Z
1.06067,1.06082,1.05928,1.06060,2017-01-16T15:00:00.000000000Z
1.06062,1.06083,1.05910,1.06003,2017-01-16T16:00:00.000000000Z
1.06000,1.06086,1.05976,1.06043,2017-01-16T17:00:00.000000000Z
1.06046,1.06052,1.05973,1.05995,2017-01-16T18:00:00.000000000Z
1.05992,1.06052,1.05983,1.06026,2017-01-16T19:00:00.000000000Z
1.06028,1.06048,1.05966,1.05991,2017-01-16T20:00:00.000000000Z
1.05988,1.06049,1.05982,1.06006,2017-01-16T21:00:00.000000000Z
1.06006,1.06044,1.05978,1.05988,2017-01-16T22:00:00.000000000Z
1.05984,1.06076,1.05982,1.06026,2017-01-16T23:00:00.000000000Z
1.06026,1.06188,1.06024,1.06062,2017-01-17T00:00:00.000000000Z
1.06064,1.06108,1.06010,1.06028,2017-01-17T01:00:00.000000000Z
1.06025,1.06214,1.06025,1.06204,2017-01-17T02:00:00.000000000Z
1.06200,1.06304,1.06147,1.06246,2017-01-17T03:00:00.000000000Z
1.06242,1.06434,1.06230,1.06402,2017-01-17T04:00:00.000000000Z
1.06400,1.06594,1.06400,1.06574,2017-01-17T05:00:00.000000000Z
1.06572,1.06657,1.06470,1.06550,2017-01-17T06:00:00.000000000Z
1.06547,1.06585,1.06402,1.06546,2017-01-17T07:00:00.000000000Z
1.06549,1.06716,1.06544,1.06630,2017-01-17T08:00:00.000000000Z
1.06633,1.06819,1.06550,1.06786,2017-01-17T09:00:00.000000000Z
1.06785,1.06820,1.06578,1.06798,2017-01-17T10:00:00.000000000Z
1.06800,1.07194,1.06796,1.07096,2017-01-17T11:00:00.000000000Z
1.07098,1.07126,1.06836,1.06836,2017-01-17T12:00:00.000000000Z
1.06840,1.06934,1.06675,1.06918,2017-01-17T13:00:00.000000000Z
1.06916,1.07167,1.06898,1.07151,2017-01-17T14:00:00.000000000Z
1.07153,1.07164,1.06910,1.06948,2017-01-17T15:00:00.000000000Z
1.06944,1.07128,1.06896,1.06946,2017-01-17T16:00:00.000000000Z
1.06948,1.07072,1.06936,1.06992,2017-01-17T17:00:00.000000000Z
1.06994,1.07036,1.06946,1.07034,2017-01-17T18:00:00.000000000Z
1.07036,1.07132,1.07032,1.07090,2017-01-17T19:00:00.000000000Z
1.07092,1.07108,1.07009,1.07050,2017-01-17T20:00:00.000000000Z
1.07048,1.07142,1.07048,1.07138,2017-01-17T21:00:00.000000000Z
1.07114,1.07157,1.07088,1.07110,2017-01-17T22:00:00.000000000Z
1.07106,1.07130,1.06960,1.06968,2017-01-17T23:00:00.000000000Z
1.06966,1.07095,1.06955,1.07092,2017-01-18T00:00:00.000000000Z
1.07095,1.07124,1.06917,1.06989,2017-01-18T01:00:00.000000000Z
1.06987,1.06987,1.06886,1.06934,2017-01-18T02:00:00.000000000Z
1.06936,1.07004,1.06931,1.06978,2017-01-18T03:00:00.000000000Z
1.06976,1.07000,1.06934,1.06978,2017-01-18T04:00:00.000000000Z
1.06974,1.07003,1.06812,1.06846,2017-01-18T05:00:00.000000000Z
1.06848,1.06916,1.06786,1.06803,2017-01-18T06:00:00.000000000Z
1.06806,1.06855,1.06760,1.06780,2017-01-18T07:00:00.000000000Z
1.06782,1.07046,1.06764,1.06914,2017-01-18T08:00:00.000000000Z
1.06912,1.06964,1.06850,1.06958,2017-01-18T09:00:00.000000000Z
1.06954,1.06964,1.06798,1.06858,2017-01-18T10:00:00.000000000Z
1.06854,1.06884,1.06792,1.06871,2017-01-18T11:00:00.000000000Z
1.06868,1.06886,1.06650,1.06658,2017-01-18T12:00:00.000000000Z
1.06660,1.06736,1.06553,1.06685,2017-01-18T13:00:00.000000000Z
1.06688,1.06894,1.06650,1.06842,2017-01-18T14:00:00.000000000Z
1.06840,1.07030,1.06806,1.06952,2017-01-18T15:00:00.000000000Z
1.06954,1.06962,1.06768,1.06826,2017-01-18T16:00:00.000000000Z
1.06824,1.06918,1.06755,1.06830,2017-01-18T17:00:00.000000000Z
1.06832,1.06835,1.06638,1.06666,2017-01-18T18:00:00.000000000Z
1.06666,1.06725,1.06607,1.06720,2017-01-18T19:00:00.000000000Z
1.06723,1.06726,1.06303,1.06382,2017-01-18T20:00:00.000000000Z
1.06380,1.06388,1.06288,1.06293,2017-01-18T21:00:00.000000000Z
1.06314,1.06354,1.06294,1.06336,2017-01-18T22:00:00.000000000Z
1.06340,1.06354,1.06244,1.06280,2017-01-18T23:00:00.000000000Z
1.06278,1.06344,1.06223,1.06256,2017-01-19T00:00:00.000000000Z
1.06258,1.06328,1.06232,1.06280,2017-01-19T01:00:00.000000000Z
1.06278,1.06421,1.06272,1.06376,2017-01-19T02:00:00.000000000Z
1.06373,1.06455,1.06349,1.06388,2017-01-19T03:00:00.000000000Z
1.06386,1.06430,1.06372,1.06409,2017-01-19T04:00:00.000000000Z
1.06406,1.06410,1.06325,1.06394,2017-01-19T05:00:00.000000000Z
1.06392,1.06439,1.06334,1.06422,2017-01-19T06:00:00.000000000Z
1.06420,1.06470,1.06326,1.06420,2017-01-19T07:00:00.000000000Z
1.06417,1.06554,1.06378,1.06552,2017-01-19T08:00:00.000000000Z
1.06548,1.06706,1.06524,1.06608,2017-01-19T09:00:00.000000000Z
1.06610,1.06628,1.06535,1.06559,2017-01-19T10:00:00.000000000Z
1.06556,1.06651,1.06534,1.06642,2017-01-19T11:00:00.000000000Z
1.06640,1.06692,1.06576,1.06690,2017-01-19T12:00:00.000000000Z
1.06687,1.06766,1.06030,1.06194,2017-01-19T13:00:00.000000000Z
1.06196,1.06229,1.05896,1.05910,2017-01-19T14:00:00.000000000Z
1.05912,1.06220,1.05895,1.06093,2017-01-19T15:00:00.000000000Z
1.06095,1.06370,1.06095,1.06300,2017-01-19T16:00:00.000000000Z
1.06296,1.06336,1.06148,1.06322,2017-01-19T17:00:00.000000000Z
1.06320,1.06414,1.06185,1.06266,2017-01-19T18:00:00.000000000Z
1.06264,1.06604,1.06257,1.06599,2017-01-19T19:00:00.000000000Z
1.06596,1.06694,1.06552,1.06606,2017-01-19T20:00:00.000000000Z
1.06604,1.06662,1.06574,1.06644,2017-01-19T21:00:00.000000000Z
1.06626,1.06663,1.06576,1.06583,2017-01-19T22:00:00.000000000Z
1.06587,1.06622,1.06563,1.06594,2017-01-19T23:00:00.000000000Z
1.06592,1.06620,1.06524,1.06539,2017-01-20T00:00:00.000000000Z
1.06536,1.06878,1.06536,1.06816,2017-01-20T01:00:00.000000000Z
1.06812,1.06839,1.06749,1.06774,2017-01-20T02:00:00.000000000Z
1.06776,1.06936,1.06776,1.06852,2017-01-20T03:00:00.000000000Z
1.06848,1.06860,1.06782,1.06804,2017-01-20T04:00:00.000000000Z
1.06801,1.06815,1.06715,1.06725,2017-01-20T05:00:00.000000000Z
1.06727,1.06860,1.06727,1.06828,2017-01-20T06:00:00.000000000Z
1.06826,1.06923,1.06712,1.06721,2017-01-20T07:00:00.000000000Z
1.06718,1.06837,1.06610,1.06635,2017-01-20T08:00:00.000000000Z
1.06637,1.06670,1.06424,1.06463,2017-01-20T09:00:00.000000000Z
1.06460,1.06474,1.06279,1.06372,2017-01-20T10:00:00.000000000Z
1.06374,1.06414,1.06288,1.06386,2017-01-20T11:00:00.000000000Z
1.06384,1.06466,1.06262,1.06277,2017-01-20T12:00:00.000000000Z
1.06274,1.06576,1.06252,1.06567,2017-01-20T13:00:00.000000000Z
1.06564,1.06668,1.06520,1.06550,2017-01-20T14:00:00.000000000Z
1.06552,1.06836,1.06552,1.06788,2017-01-20T15:00:00.000000000Z
1.06786,1.06831,1.06642,1.06792,2017-01-20T16:00:00.000000000Z
1.06790,1.06954,1.06636,1.06749,2017-01-20T17:00:00.000000000Z
1.06747,1.06834,1.06660,1.06815,2017-01-20T18:00:00.000000000Z
1.06812,1.07096,1.06805,1.07052,2017-01-20T19:00:00.000000000Z
1.07048,1.07062,1.06896,1.06962,2017-01-20T20:00:00.000000000Z
1.06965,1.07052,1.06922,1.07012,2017-01-20T21:00:00.000000000Z
1.07014,1.07063,1.07014,1.07038,2017-01-22T22:00:00.000000000Z
1.07034,1.07170,1.07034,1.07128,2017-01-22T23:00:00.000000000Z
1.07132,1.07298,1.07095,1.07240,2017-01-23T00:00:00.000000000Z
1.07238,1.07450,1.07216,1.07444,2017-01-23T01:00:00.000000000Z
1.07440,1.07463,1.07390,1.07456,2017-01-23T02:00:00.000000000Z
1.07454,1.07498,1.07426,1.07440,2017-01-23T03:00:00.000000000Z
1.07438,1.07460,1.07370,1.07372,2017-01-23T04:00:00.000000000Z
1.07370,1.07482,1.07352,1.07482,2017-01-23T05:00:00.000000000Z
1.07485,1.07550,1.07400,1.07421,2017-01-23T06:00:00.000000000Z
1.07418,1.07540,1.07400,1.07424,2017-01-23T07:00:00.000000000Z
1.07426,1.07494,1.07260,1.07278,2017-01-23T08:00:00.000000000Z
1.07282,1.07330,1.07231,1.07260,2017-01-23T09:00:00.000000000Z
1.07258,1.07450,1.07258,1.07377,2017-01-23T10:00:00.000000000Z
1.07380,1.07390,1.07264,1.07296,2017-01-23T11:00:00.000000000Z
1.07295,1.07438,1.07275,1.07345,2017-01-23T12:00:00.000000000Z
1.07342,1.07378,1.07096,1.07302,2017-01-23T13:00:00.000000000Z
1.07300,1.07334,1.07064,1.07256,2017-01-23T14:00:00.000000000Z
1.07258,1.07521,1.07258,1.07478,2017-01-23T15:00:00.000000000Z
1.07476,1.07484,1.07268,1.07399,2017-01-23T16:00:00.000000000Z
1.07396,1.07422,1.07200,1.07270,2017-01-23T17:00:00.000000000Z
1.07273,1.07370,1.07252,1.07360,2017-01-23T18:00:00.000000000Z
1.07362,1.07500,1.07362,1.07461,2017-01-23T19:00:00.000000000Z
1.07459,1.07518,1.07414,1.07434,2017-01-23T20:00:00.000000000Z
1.07437,1.07695,1.07428,1.07640,2017-01-23T21:00:00.000000000Z
1.07672,1.07724,1.07618,1.07724,2017-01-23T22:00:00.000000000Z
1.07720,1.07720,1.07583,1.07590,2017-01-23T23:00:00.000000000Z
1.07588,1.07620,1.07542,1.07601,2017-01-24T00:00:00.000000000Z
1.07600,1.07601,1.07452,1.07544,2017-01-24T01:00:00.000000000Z
1.07546,1.07669,1.07542,1.07588,2017-01-24T02:00:00.000000000Z
1.07584,1.07710,1.07559,1.07600,2017-01-24T03:00:00.000000000Z
1.07601,1.07627,1.07494,1.07514,2017-01-24T04:00:00.000000000Z
1.07516,1.07599,1.07484,1.07553,2017-01-24T05:00:00.000000000Z
1.07550,1.07568,1.07378,1.07411,2017-01-24T06:00:00.000000000Z
1.07410,1.07499,1.07338,1.07381,2017-01-24T07:00:00.000000000Z
1.07378,1.07529,1.07374,1.07478,2017-01-24T08:00:00.000000000Z
1.07475,1.07519,1.07351,1.07404,2017-01-24T09:00:00.000000000Z
1.07406,1.07441,1.07286,1.07298,2017-01-24T10:00:00.000000000Z
1.07296,1.07442,1.07255,1.07433,2017-01-24T11:00:00.000000000Z
1.07430,1.07476,1.07394,1.07419,2017-01-24T12:00:00.000000000Z
1.07422,1.07571,1.07406,1.07476,2017-01-24T13:00:00.000000000Z
1.07474,1.07666,1.07434,1.07616,2017-01-24T14:00:00.000000000Z
1.07610,1.07751,1.07489,1.07524,2017-01-24T15:00:00.000000000Z
1.07527,1.07582,1.07466,1.07484,2017-01-24T16:00:00.000000000Z
1.07487,1.07610,1.07482,1.07565,2017-01-24T17:00:00.000000000Z
1.07568,1.07581,1.07338,1.07350,2017-01-24T18:00:00.000000000Z
1.07348,1.07348,1.07220,1.07224,2017-01-24T19:00:00.000000000Z
1.07226,1.07336,1.07204,1.07332,2017-01-24T20:00:00.000000000Z
1.07334,1.07336,1.07299,1.07314,2017-01-24T21:00:00.000000000Z
1.07306,1.07342,1.07279,1.07316,2017-01-24T22:00:00.000000000Z
1.07316,1.07330,1.07240,1.07284,2017-01-24T23:00:00.000000000Z
1.07286,1.07340,1.07237,1.07312,2017-01-25T00:00:00.000000000Z
1.07310,1.07351,1.07222,1.07294,2017-01-25T01:00:00.000000000Z
1.07290,1.07380,1.07270,1.07310,2017-01-25T02:00:00.000000000Z
1.07308,1.07328,1.07274,1.07315,2017-01-25T03:00:00.000000000Z
1.07317,1.07373,1.07306,1.07308,2017-01-25T04:00:00.000000000Z
1.07306,1.07306,1.07238,1.07263,2017-01-25T05:00:00.000000000Z
1.07260,1.07264,1.07214,1.07216,2017-01-25T06:00:00.000000000Z
1.07214,1.07268,1.07112,1.07134,2017-01-25T07:00:00.000000000Z
1.07136,1.07326,1.07131,1.07298,2017-01-25T08:00:00.000000000Z
1.07300,1.07548,1.07246,1.07498,2017-01-25T09:00:00.000000000Z
1.07496,1.07546,1.07419,1.07535,2017-01-25T10:00:00.000000000Z
1.07532,1.07564,1.07480,1.07525,2017-01-25T11:00:00.000000000Z
1.07523,1.07698,1.07452,1.07456,2017-01-25T12:00:00.000000000Z
1.07459,1.07484,1.07358,1.07448,2017-01-25T13:00:00.000000000Z
1.07446,1.07454,1.07202,1.07270,2017-01-25T14:00:00.000000000Z
1.07266,1.07452,1.07256,1.07410,2017-01-25T15:00:00.000000000Z
1.07414,1.07534,1.07320,1.07428,2017-01-25T16:00:00.000000000Z
1.07430,1.07450,1.07252,1.07378,2017-01-25T17:00:00.000000000Z
1.07380,1.07400,1.07250,1.07262,2017-01-25T18:00:00.000000000Z
1.07260,1.07416,1.07202,1.07411,2017-01-25T19:00:00.000000000Z
1.07408,1.07528,1.07364,1.07521,2017-01-25T20:00:00.000000000Z
1.07524,1.07544,1.07469,1.07483,2017-01-25T21:00:00.000000000Z
1.07497,1.07551,1.07460,1.07504,2017-01-25T22:00:00.000000000Z
